"Hnar",80,"Vakttjeneste og etterforskning",0
"Hnar",81,"Tjenester tilknyttet eiendomsdrift",0
"Hnar",82,"Annen forretningsmessig tjenesteyting",0
"Hnar",84,"Offentlig administrasjon og forsvar, og trygdeordninger unde",0
"Hnar",85,"Undervisning",0
"Hnar",86,"Helsetjenester",0
"Hnar",87,"Pleie- og omsorgstjenester i institusjon",0
"Hnar",88,"Sosiale omsorgstjenester uten botilbud",0
"Hnar",90,"Kunstnerisk virksomhet og underholdningsvirksomhet",0
"Hnar",91,"Drift av biblioteker, arkiver, museer og annen kulturvirksom",0
"Hnar",92,"Lotteri og totalisatorspill",0
"Hnar",93,"Sports- og fritidsaktiviteter og drift av fornøyelsesetablis",0
"Hnar",94,"Aktiviteter i medlemsorganisasjoner",0
"Hnar",95,"Reparasjon av datamaskiner, husholdningsvarer og varer til p",0
"Hnar",96,"Annen personlig tjenesteyting",0
"Hnar",97,"Lønnet arbeid i private husholdninger",0
"Hnar",99,"Internasjonale organisasjoner og organer",0
"Hstat",101,"Vernepliktig",0
"Hstat",111,"Sysselsatte, ansatte",0
"Hstat",112,"Sysselsatte, selvstendige",0
"Hstat",113,"Sysselsatte, familiearbeider",0
"Hstat",119,"Sysselsatte, uoppgitt",0
"Hstat",121,"Midl.Fravær, ansatte",0
"Hstat",122,"Midl.Fravær, selvstendige",0
"Hstat",123,"Midl.Fravær, familiearbeider",0
"Hstat",129,"Midl.Fravær, uoppgitt",0
"Hstat",232,"Arbeidssøkere, skoleelever",0
"Hstat",233,"Arbeidssøkere, alderspensjonist",0
"Hstat",234,"Arbeidssøkere, førtidspensjonist",0
"Hstat",235,"Arbeidssøkere, arbeidsufør",0
"Hstat",236,"Arbeidssøkere, hjemmearbeidende",0
"Hstat",237,"Arbeidssøkere, arbeidsledig",0
"Hstat",239,"Arbeidssøkere, annet",0
"Hstat",249,"Arbeidssøkere, ufrivillig permitterte",0
"Hstat",362,"Utenf.Arb.Styrke, skoleelever",0
"Hstat",363,"Utenf.Arb.Styrke, alderspensjonist",0
"Hstat",364,"Utenf.Arb.Styrke, førtidspensjonist",0
"Hstat",365,"Utenf.Arb.Styrke, arbeidsufør",0
"Hstat",366,"Utenf.Arb.Styrke, hjemmearbeidende",0
"Hstat",367,"Utenf.Arb.Styrke, arbeidsledig",0
"Hstat",369,"Utenf.Arb.Styrke, annet",0
"Kjonn",1,"Mann",0
"Kjonn",2,"Kvinne",0
"Nj58",1,"Ja",0
"Nj58",2,"Nei",0
"Nj59b",1,"Forsøkt i nåværende arbeidsforhold",0
"Nj59b",2,"Kontaktet nav (arbeidskontoret) for å få jobb",0
"Nj59b",3,"Kontaktet vikarbyrå/privat arbeidsformidling",0
"Nj59b",4,"Kontaktet mulig arbeidsgiver",0
"Nj59b",5,"Kontaktet venner, slektninger, fagforeninger osv.",0
"Nj59b",6,"Svart på annonse, annonsert selv",0
"Nj59b",7,"Lest annonser",0
"Nj59b",8,"Gjennomførte en test, intervju eller lignende",0
"Nj59b",9,"Venter på svar på søknad",0
"Nj59b",10,"Venter på tilbud fra nav",0
"Nj59b",11,"Har søkt etter bedriftslokaler, tomt, utstyr",0
"Nj59b",12,"Har søkt om tillatelse, lisenser, lån, etableringsstøtte",0
"Nj59b",13,"Andre måter",0
"Nj59b",14,"Har ikke gjort noe (siste 4 uker)",0
"Nj59d",1,"Ansatt",0
"Nj59d",2,"Selvstendig",0
"Nj59d",3,"Usikker/vet ikke",0
"Nj59e",1,"Heltidsjobb",0
"Nj59e",2,"Deltidsjobb",0
"Nj59e",3,"Usikker",0
"Nj59f",1,"Ja",0
"Nj59f",2,"Nei",0
"Nj59g",1,"Ja",0
"Nj59g",2,"Nei",0
"Spm120",1,"Ugift",0
"Spm120",2,"Gift/registrert partner",0
"Spm120",3,"Samboer",0
"Spm120",4,"Før gift",0
"Spm120",9,"Uoppgitt",0
"Sstat",101,"Vernepliktig",0
"Sstat",111,"Sysselsatte, ansatte",0
"Sstat",112,"Sysselsatte, selvstendige",0
"Sstat",113,"Sysselsatte, familiearbeider",0
"Sstat",119,"Sysselsatte, uoppgitt",0
"Sstat",121,"Midl.Fravær, ansatte",0
"Sstat",122,"Midl.Fravær, selvstendige",0
"Sstat",123,"Midl.Fravær, familiearbeider",0
"Sstat",129,"Midl.Fravær, uoppgitt",0
"Sstat",232,"Arbeidssøkere, skoleelever",0
"Sstat",233,"Arbeidssøkere, alderspensjonist",0
"Sstat",234,"Arbeidssøkere, førtidspensjonist",0
"Sstat",235,"Arbeidssøkere, arbeidsufør",0
"Sstat",236,"Arbeidssøkere, hjemmearbeidende",0
"Sstat",237,"Arbeidssøkere, arbeidsledig",0
