code,shortname,level,name,nb_name,navn,parentcode
87,Residential care activities,2,Residential care activities,Pleie- og omsorgstjenester i institusjon,Pleie- og omsorgstjenester i institusjon,Q
88,Social work without accommodation,2,Social work activities without accommodation,Sosiale omsorgstjenester uten botilbud,Sosiale omsorgstjenester uten botilbud,Q
90,Arts and entertainment activities,2,"Creative, arts and entertainment activities",Kunstnerisk virksomhet og underholdningsvirksomhet,Kunstnerisk virksomhet og underholdningsvirks,R
91,"Libraries, museums, other culture",2,"Libraries, archives, museums and other cultural activities","Drift av biblioteker, arkiver, museer og annen kulturvirksomhet","Drift av biblioteker, arkiver, museer og anne",R
92,Gambling and betting activities,2,Gambling and betting activities,Lotteri og totalisatorspill,Lotteri og totalisatorspill,R
93,"Sports, amusement, recreation",2,Sports activities and amusement and recreation activities,Sports- og fritidsaktiviteter og drift av fornøyelsesetablissementer,Sports- og fritidsaktiviteter og drift av for,R
94,Membership organisations,2,Activities of membership organisations,Aktiviteter i medlemsorganisasjoner,Aktiviteter i medlemsorganisasjoner,S
95,"Repair, personal, household goods",2,Repair of computers and personal and household goods,"Reparasjon av datamaskiner, husholdningsvarer og varer til personlig bruk","Reparasjon av datamaskiner, husholdningsvarer",S
96,Other personal service activities,2,Other personal service activities,Annen personlig tjenesteyting,Annen personlig tjenesteyting,S
97,Households as employers activities,2,Activities of households as employers of domestic personnel,Lønnet arbeid i private husholdninger,Lønnet arbeid i private husholdninger,T
99,Extraterritorial organisations and bodies,2,Activities of extraterritorial organisations and bodies,Internasjonale organisasjoner og organer,Internasjonale organisasjoner og organer,U
