contents,quarter,value,shortname
Average monthly basic earnings (NOK),2019K1,30550,Food and beverage service activities
Average monthly basic earnings (NOK),2019K2,30710,Food and beverage service activities
Average monthly basic earnings (NOK),2019K3,30770,Food and beverage service activities
Average monthly basic earnings (NOK),2019K4,31370,Food and beverage service activities
Average monthly basic earnings (NOK),2020K1,31520,Food and beverage service activities
Average monthly basic earnings (NOK),2020K2,32390,Food and beverage service activities
Average monthly basic earnings (NOK),2020K3,31250,Food and beverage service activities
Average monthly basic earnings (NOK),2020K4,32010,Food and beverage service activities
Average monthly basic earnings (NOK),2021K1,32610,Food and beverage service activities
Average monthly basic earnings (NOK),2021K2,32800,Food and beverage service activities
Average monthly basic earnings (NOK),2021K3,32440,Food and beverage service activities
Average monthly basic earnings (NOK),2021K4,33320,Food and beverage service activities
Average monthly basic earnings (NOK),2022K1,33610,Food and beverage service activities
Average monthly basic earnings (NOK),2022K2,33780,Food and beverage service activities
Average monthly basic earnings (NOK),2022K3,33880,Food and beverage service activities
Average monthly basic earnings (NOK),2022K4,34860,Food and beverage service activities
Average monthly earnings (NOK),2016K1,29030,Food and beverage service activities
Average monthly earnings (NOK),2016K2,28790,Food and beverage service activities
Average monthly earnings (NOK),2016K3,28410,Food and beverage service activities
Average monthly earnings (NOK),2016K4,28810,Food and beverage service activities
Average monthly earnings (NOK),2017K1,29010,Food and beverage service activities
Average monthly earnings (NOK),2017K2,29390,Food and beverage service activities
Average monthly earnings (NOK),2017K3,28740,Food and beverage service activities
Average monthly earnings (NOK),2017K4,29330,Food and beverage service activities
Average monthly earnings (NOK),2018K1,30080,Food and beverage service activities
Average monthly earnings (NOK),2018K2,30320,Food and beverage service activities
Average monthly earnings (NOK),2018K3,29940,Food and beverage service activities
Average monthly earnings (NOK),2018K4,30680,Food and beverage service activities
Average monthly earnings (NOK),2019K1,31260,Food and beverage service activities
Average monthly earnings (NOK),2019K2,31890,Food and beverage service activities
Average monthly earnings (NOK),2019K3,31340,Food and beverage service activities
Average monthly earnings (NOK),2019K4,31910,Food and beverage service activities
Average monthly earnings (NOK),2020K1,32340,Food and beverage service activities
Average monthly earnings (NOK),2020K2,33470,Food and beverage service activities
Average monthly earnings (NOK),2020K3,31780,Food and beverage service activities
Average monthly earnings (NOK),2020K4,32480,Food and beverage service activities
Average monthly earnings (NOK),2021K1,33510,Food and beverage service activities
Average monthly earnings (NOK),2021K2,33840,Food and beverage service activities
Average monthly earnings (NOK),2021K3,33090,Food and beverage service activities
Average monthly earnings (NOK),2021K4,34170,Food and beverage service activities
Average monthly earnings (NOK),2022K1,34460,Food and beverage service activities
Average monthly earnings (NOK),2022K2,35100,Food and beverage service activities
Average monthly earnings (NOK),2022K3,34520,Food and beverage service activities
Average monthly earnings (NOK),2022K4,35610,Food and beverage service activities
Index of average monthly basic earnings,2016K1,100,Food and beverage service activities
Index of average monthly basic earnings,2016K2,99.4,Food and beverage service activities
Index of average monthly basic earnings,2016K3,99,Food and beverage service activities
Index of average monthly basic earnings,2016K4,100.4,Food and beverage service activities
Index of average monthly basic earnings,2017K1,100.5,Food and beverage service activities
Index of average monthly basic earnings,2017K2,100.8,Food and beverage service activities
Index of average monthly basic earnings,2017K3,100.2,Food and beverage service activities
Index of average monthly basic earnings,2017K4,102.3,Food and beverage service activities
Index of average monthly basic earnings,2018K1,103.9,Food and beverage service activities
Index of average monthly basic earnings,2018K2,104.3,Food and beverage service activities
Index of average monthly basic earnings,2018K3,104.5,Food and beverage service activities
Index of average monthly basic earnings,2018K4,106.9,Food and beverage service activities
Index of average monthly basic earnings,2019K1,108.2,Food and beverage service activities
Index of average monthly basic earnings,2019K2,108.7,Food and beverage service activities
Index of average monthly basic earnings,2019K3,109,Food and beverage service activities
Index of average monthly basic earnings,2019K4,111.1,Food and beverage service activities
Index of average monthly basic earnings,2020K1,111.6,Food and beverage service activities
Index of average monthly basic earnings,2020K2,114.7,Food and beverage service activities
Index of average monthly basic earnings,2020K3,110.7,Food and beverage service activities
Index of average monthly basic earnings,2020K4,113.3,Food and beverage service activities
Index of average monthly basic earnings,2021K1,115.5,Food and beverage service activities
Index of average monthly basic earnings,2021K2,116.1,Food and beverage service activities
Index of average monthly basic earnings,2021K3,114.9,Food and beverage service activities
Index of average monthly basic earnings,2021K4,118,Food and beverage service activities
Index of average monthly basic earnings,2022K1,119,Food and beverage service activities
Index of average monthly basic earnings,2022K2,119.6,Food and beverage service activities
Index of average monthly basic earnings,2022K3,120,Food and beverage service activities
Index of average monthly basic earnings,2022K4,123.4,Food and beverage service activities
Index of average monthly earnings,2016K1,100,Food and beverage service activities
Index of average monthly earnings,2016K2,99.2,Food and beverage service activities
Index of average monthly earnings,2016K3,97.9,Food and beverage service activities
Index of average monthly earnings,2016K4,99.2,Food and beverage service activities
Index of average monthly earnings,2017K1,99.9,Food and beverage service activities
Index of average monthly earnings,2017K2,101.2,Food and beverage service activities
Index of average monthly earnings,2017K3,99,Food and beverage service activities
Index of average monthly earnings,2017K4,101,Food and beverage service activities
Index of average monthly earnings,2018K1,103.6,Food and beverage service activities
Index of average monthly earnings,2018K2,104.4,Food and beverage service activities
Index of average monthly earnings,2018K3,103.1,Food and beverage service activities
Index of average monthly earnings,2018K4,105.7,Food and beverage service activities
Index of average monthly earnings,2019K1,107.7,Food and beverage service activities
Index of average monthly earnings,2019K2,109.9,Food and beverage service activities
Index of average monthly earnings,2019K3,108,Food and beverage service activities
Index of average monthly earnings,2019K4,109.9,Food and beverage service activities
Index of average monthly earnings,2020K1,111.4,Food and beverage service activities
Index of average monthly earnings,2020K2,115.3,Food and beverage service activities
Index of average monthly earnings,2020K3,109.5,Food and beverage service activities
Index of average monthly earnings,2020K4,111.9,Food and beverage service activities
Index of average monthly earnings,2021K1,115.4,Food and beverage service activities
Index of average monthly earnings,2021K2,116.6,Food and beverage service activities
Index of average monthly earnings,2021K3,114,Food and beverage service activities
Index of average monthly earnings,2021K4,117.7,Food and beverage service activities
Index of average monthly earnings,2022K1,118.7,Food and beverage service activities
Index of average monthly earnings,2022K2,120.9,Food and beverage service activities
Index of average monthly earnings,2022K3,118.9,Food and beverage service activities
Index of average monthly earnings,2022K4,122.7,Food and beverage service activities
Number of employees,2016K1,19776,Publishing activities
Number of employees,2016K2,19202,Publishing activities
Number of employees,2016K3,19354,Publishing activities
Number of employees,2016K4,19135,Publishing activities
Number of employees,2017K1,18997,Publishing activities
Number of employees,2017K2,18787,Publishing activities
Number of employees,2017K3,19093,Publishing activities
Number of employees,2017K4,18757,Publishing activities
Number of employees,2018K1,18603,Publishing activities
Number of employees,2018K2,18605,Publishing activities
Number of employees,2018K3,18694,Publishing activities
Number of employees,2018K4,18380,Publishing activities
Number of employees,2019K1,18962,Publishing activities
Number of employees,2019K2,18857,Publishing activities
Number of employees,2019K3,19152,Publishing activities
Number of employees,2019K4,18976,Publishing activities
Number of employees,2020K1,19014,Publishing activities
Number of employees,2020K2,18818,Publishing activities
Number of employees,2020K3,18898,Publishing activities
Number of employees,2020K4,18640,Publishing activities
Number of employees,2021K1,18592,Publishing activities
Number of employees,2021K2,18869,Publishing activities
Number of employees,2021K3,19249,Publishing activities
Number of employees,2021K4,19472,Publishing activities
Number of employees,2022K1,19666,Publishing activities
Number of employees,2022K2,19560,Publishing activities
Number of employees,2022K3,19971,Publishing activities
Number of employees,2022K4,19583,Publishing activities
Number of jobs (employments),2016K1,20460,Publishing activities
Number of jobs (employments),2016K2,19923,Publishing activities
Number of jobs (employments),2016K3,20006,Publishing activities
Number of jobs (employments),2016K4,19851,Publishing activities
Number of jobs (employments),2017K1,19640,Publishing activities
Number of jobs (employments),2017K2,19464,Publishing activities
Number of jobs (employments),2017K3,19712,Publishing activities
Number of jobs (employments),2017K4,19458,Publishing activities
Number of jobs (employments),2018K1,19319,Publishing activities
Number of jobs (employments),2018K2,19349,Publishing activities
Number of jobs (employments),2018K3,19365,Publishing activities
Number of jobs (employments),2018K4,19162,Publishing activities
Number of jobs (employments),2019K1,19803,Publishing activities
Number of jobs (employments),2019K2,19680,Publishing activities
Number of jobs (employments),2019K3,19904,Publishing activities
Number of jobs (employments),2019K4,19784,Publishing activities
Number of jobs (employments),2020K1,19797,Publishing activities
Number of jobs (employments),2020K2,19443,Publishing activities
Number of jobs (employments),2020K3,19545,Publishing activities
Number of jobs (employments),2020K4,19499,Publishing activities
Number of jobs (employments),2021K1,19323,Publishing activities
Number of jobs (employments),2021K2,19662,Publishing activities
Number of jobs (employments),2021K3,19979,Publishing activities
Number of jobs (employments),2021K4,20300,Publishing activities
Number of jobs (employments),2022K1,20427,Publishing activities
Number of jobs (employments),2022K2,20448,Publishing activities
Number of jobs (employments),2022K3,20696,Publishing activities
Number of jobs (employments),2022K4,20473,Publishing activities
Average monthly basic earnings (NOK),2016K1,51120,Publishing activities
Average monthly basic earnings (NOK),2016K2,51270,Publishing activities
Average monthly basic earnings (NOK),2016K3,51400,Publishing activities
Average monthly basic earnings (NOK),2016K4,52030,Publishing activities
Average monthly basic earnings (NOK),2017K1,52560,Publishing activities
Average monthly basic earnings (NOK),2017K2,52860,Publishing activities
Average monthly basic earnings (NOK),2017K3,52780,Publishing activities
Average monthly basic earnings (NOK),2017K4,53710,Publishing activities
Average monthly basic earnings (NOK),2018K1,53990,Publishing activities
Average monthly basic earnings (NOK),2018K2,54210,Publishing activities
Average monthly basic earnings (NOK),2018K3,54270,Publishing activities
Average monthly basic earnings (NOK),2018K4,55190,Publishing activities
Average monthly basic earnings (NOK),2019K1,55610,Publishing activities
Average monthly basic earnings (NOK),2019K2,56250,Publishing activities
Average monthly basic earnings (NOK),2019K3,56440,Publishing activities
Average monthly basic earnings (NOK),2019K4,57470,Publishing activities
Average monthly basic earnings (NOK),2020K1,57860,Publishing activities
Average monthly basic earnings (NOK),2020K2,57580,Publishing activities
Average monthly basic earnings (NOK),2020K3,57780,Publishing activities
Average monthly basic earnings (NOK),2020K4,59050,Publishing activities
Average monthly basic earnings (NOK),2021K1,59510,Publishing activities
Average monthly basic earnings (NOK),2021K2,59920,Publishing activities
Average monthly basic earnings (NOK),2021K3,60150,Publishing activities
Average monthly basic earnings (NOK),2021K4,61490,Publishing activities
Average monthly basic earnings (NOK),2022K1,61850,Publishing activities
Average monthly basic earnings (NOK),2022K2,62400,Publishing activities
Average monthly basic earnings (NOK),2022K3,62220,Publishing activities
Average monthly basic earnings (NOK),2022K4,63840,Publishing activities
Average monthly earnings (NOK),2016K1,56630,Publishing activities
Average monthly earnings (NOK),2016K2,53920,Publishing activities
Average monthly earnings (NOK),2016K3,52830,Publishing activities
Average monthly earnings (NOK),2016K4,54130,Publishing activities
Average monthly earnings (NOK),2017K1,58210,Publishing activities
Average monthly earnings (NOK),2017K2,54870,Publishing activities
Average monthly earnings (NOK),2017K3,54320,Publishing activities
Average monthly earnings (NOK),2017K4,55040,Publishing activities
Average monthly earnings (NOK),2018K1,58610,Publishing activities
Average monthly earnings (NOK),2018K2,56330,Publishing activities
Average monthly earnings (NOK),2018K3,55990,Publishing activities
Average monthly earnings (NOK),2018K4,57460,Publishing activities
Average monthly earnings (NOK),2019K1,64370,Publishing activities
Average monthly earnings (NOK),2019K2,58730,Publishing activities
Average monthly earnings (NOK),2019K3,58230,Publishing activities
Average monthly earnings (NOK),2019K4,59530,Publishing activities
Average monthly earnings (NOK),2020K1,66230,Publishing activities
Average monthly earnings (NOK),2020K2,60380,Publishing activities
Average monthly earnings (NOK),2020K3,59140,Publishing activities
Average monthly earnings (NOK),2020K4,60850,Publishing activities
Average monthly earnings (NOK),2021K1,66030,Publishing activities
Average monthly earnings (NOK),2021K2,61970,Publishing activities
Average monthly earnings (NOK),2021K3,62210,Publishing activities
Average monthly earnings (NOK),2021K4,63520,Publishing activities
Average monthly earnings (NOK),2022K1,69840,Publishing activities
Average monthly earnings (NOK),2022K2,64980,Publishing activities
Average monthly earnings (NOK),2022K3,64020,Publishing activities
Average monthly earnings (NOK),2022K4,66540,Publishing activities
Index of average monthly basic earnings,2016K1,100,Publishing activities
Index of average monthly basic earnings,2016K2,100.3,Publishing activities
Index of average monthly basic earnings,2016K3,100.5,Publishing activities
Index of average monthly basic earnings,2016K4,101.8,Publishing activities
Index of average monthly basic earnings,2017K1,102.8,Publishing activities
Index of average monthly basic earnings,2017K2,103.4,Publishing activities
Index of average monthly basic earnings,2017K3,103.2,Publishing activities
Index of average monthly basic earnings,2017K4,105.1,Publishing activities
Index of average monthly basic earnings,2018K1,105.6,Publishing activities
Index of average monthly basic earnings,2018K2,106,Publishing activities
Index of average monthly basic earnings,2018K3,106.2,Publishing activities
Index of average monthly basic earnings,2018K4,108,Publishing activities
Index of average monthly basic earnings,2019K1,108.8,Publishing activities
Index of average monthly basic earnings,2019K2,110,Publishing activities
Index of average monthly basic earnings,2019K3,110.4,Publishing activities
Index of average monthly basic earnings,2019K4,112.4,Publishing activities
Index of average monthly basic earnings,2020K1,113.2,Publishing activities
Index of average monthly basic earnings,2020K2,112.6,Publishing activities
Index of average monthly basic earnings,2020K3,113,Publishing activities
Index of average monthly basic earnings,2020K4,115.5,Publishing activities
Index of average monthly basic earnings,2021K1,116.4,Publishing activities
Index of average monthly basic earnings,2021K2,117.2,Publishing activities
Index of average monthly basic earnings,2021K3,117.7,Publishing activities
Index of average monthly basic earnings,2021K4,120.3,Publishing activities
Index of average monthly basic earnings,2022K1,121,Publishing activities
Index of average monthly basic earnings,2022K2,122.1,Publishing activities
Index of average monthly basic earnings,2022K3,121.7,Publishing activities
Index of average monthly basic earnings,2022K4,124.9,Publishing activities
Index of average monthly earnings,2016K1,100,Publishing activities
Index of average monthly earnings,2016K2,95.2,Publishing activities
Index of average monthly earnings,2016K3,93.3,Publishing activities
Index of average monthly earnings,2016K4,95.6,Publishing activities
Index of average monthly earnings,2017K1,102.8,Publishing activities
Index of average monthly earnings,2017K2,96.9,Publishing activities
Index of average monthly earnings,2017K3,95.9,Publishing activities
Index of average monthly earnings,2017K4,97.2,Publishing activities
Index of average monthly earnings,2018K1,103.5,Publishing activities
Index of average monthly earnings,2018K2,99.5,Publishing activities
Index of average monthly earnings,2018K3,98.9,Publishing activities
Index of average monthly earnings,2018K4,101.5,Publishing activities
Index of average monthly earnings,2019K1,113.7,Publishing activities
Index of average monthly earnings,2019K2,103.7,Publishing activities
Index of average monthly earnings,2019K3,102.8,Publishing activities
Index of average monthly earnings,2019K4,105.1,Publishing activities
Index of average monthly earnings,2020K1,117,Publishing activities
Index of average monthly earnings,2020K2,106.6,Publishing activities
Index of average monthly earnings,2020K3,104.4,Publishing activities
Index of average monthly earnings,2020K4,107.5,Publishing activities
Index of average monthly earnings,2021K1,116.6,Publishing activities
Index of average monthly earnings,2021K2,109.4,Publishing activities
Index of average monthly earnings,2021K3,109.9,Publishing activities
Index of average monthly earnings,2021K4,112.2,Publishing activities
Index of average monthly earnings,2022K1,123.3,Publishing activities
Index of average monthly earnings,2022K2,114.7,Publishing activities
Index of average monthly earnings,2022K3,113,Publishing activities
Index of average monthly earnings,2022K4,117.5,Publishing activities
Number of employees,2016K1,4713,"Motion picture, TV, music prod."
Number of employees,2016K2,4994,"Motion picture, TV, music prod."
Number of employees,2016K3,4642,"Motion picture, TV, music prod."
Number of employees,2016K4,4954,"Motion picture, TV, music prod."
Number of employees,2017K1,4714,"Motion picture, TV, music prod."
Number of employees,2017K2,4981,"Motion picture, TV, music prod."
Number of employees,2017K3,5054,"Motion picture, TV, music prod."
Number of employees,2017K4,5259,"Motion picture, TV, music prod."
Number of employees,2018K1,5036,"Motion picture, TV, music prod."
Number of employees,2018K2,5397,"Motion picture, TV, music prod."
Number of employees,2018K3,5261,"Motion picture, TV, music prod."
Number of employees,2018K4,5291,"Motion picture, TV, music prod."
Number of employees,2019K1,5221,"Motion picture, TV, music prod."
Number of employees,2019K2,5452,"Motion picture, TV, music prod."
Number of employees,2019K3,5550,"Motion picture, TV, music prod."
Number of employees,2019K4,5387,"Motion picture, TV, music prod."
Number of employees,2020K1,5353,"Motion picture, TV, music prod."
Number of employees,2020K2,4997,"Motion picture, TV, music prod."
Number of employees,2020K3,4986,"Motion picture, TV, music prod."
Number of employees,2020K4,5408,"Motion picture, TV, music prod."
Number of employees,2021K1,4898,"Motion picture, TV, music prod."
Number of employees,2021K2,5235,"Motion picture, TV, music prod."
Number of employees,2021K3,5545,"Motion picture, TV, music prod."
Number of employees,2021K4,6018,"Motion picture, TV, music prod."
Number of employees,2022K1,5954,"Motion picture, TV, music prod."
Number of employees,2022K2,6340,"Motion picture, TV, music prod."
Number of employees,2022K3,5974,"Motion picture, TV, music prod."
Number of employees,2022K4,5930,"Motion picture, TV, music prod."
Number of jobs (employments),2016K1,5432,"Motion picture, TV, music prod."
Number of jobs (employments),2016K2,5878,"Motion picture, TV, music prod."
Number of jobs (employments),2016K3,5344,"Motion picture, TV, music prod."
Number of jobs (employments),2016K4,5854,"Motion picture, TV, music prod."
Number of jobs (employments),2017K1,5466,"Motion picture, TV, music prod."
Number of jobs (employments),2017K2,5777,"Motion picture, TV, music prod."
Number of jobs (employments),2017K3,5890,"Motion picture, TV, music prod."
Number of jobs (employments),2017K4,6291,"Motion picture, TV, music prod."
Number of jobs (employments),2018K1,5851,"Motion picture, TV, music prod."
Number of jobs (employments),2018K2,6400,"Motion picture, TV, music prod."
Number of jobs (employments),2018K3,6274,"Motion picture, TV, music prod."
Number of jobs (employments),2018K4,6342,"Motion picture, TV, music prod."
Number of jobs (employments),2019K1,6057,"Motion picture, TV, music prod."
Number of jobs (employments),2019K2,6449,"Motion picture, TV, music prod."
Number of jobs (employments),2019K3,6530,"Motion picture, TV, music prod."
Number of jobs (employments),2019K4,6394,"Motion picture, TV, music prod."
Number of jobs (employments),2020K1,6171,"Motion picture, TV, music prod."
Number of jobs (employments),2020K2,5780,"Motion picture, TV, music prod."
Number of jobs (employments),2020K3,5755,"Motion picture, TV, music prod."
Number of jobs (employments),2020K4,6428,"Motion picture, TV, music prod."
Number of jobs (employments),2021K1,5650,"Motion picture, TV, music prod."
Number of jobs (employments),2021K2,6099,"Motion picture, TV, music prod."
Number of jobs (employments),2021K3,6539,"Motion picture, TV, music prod."
Number of jobs (employments),2021K4,7308,"Motion picture, TV, music prod."
Number of jobs (employments),2022K1,7012,"Motion picture, TV, music prod."
Number of jobs (employments),2022K2,7539,"Motion picture, TV, music prod."
Number of jobs (employments),2022K3,6944,"Motion picture, TV, music prod."
Number of jobs (employments),2022K4,6997,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2016K1,41510,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2016K2,41410,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2016K3,41230,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2016K4,42410,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2017K1,42680,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2017K2,42460,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2017K3,42610,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2017K4,43510,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2018K1,43350,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2018K2,43980,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2018K3,43580,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2018K4,44280,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2019K1,44690,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2019K2,45050,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2019K3,45240,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2019K4,45710,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2020K1,45840,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2020K2,47940,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2020K3,47610,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2020K4,48390,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2021K1,49110,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2021K2,49220,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2021K3,49130,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2021K4,49240,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2022K1,49250,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2022K2,49520,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2022K3,50590,"Motion picture, TV, music prod."
Average monthly basic earnings (NOK),2022K4,51120,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2016K1,43240,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2016K2,43080,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2016K3,42740,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2016K4,43460,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2017K1,43760,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2017K2,44030,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2017K3,43550,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2017K4,44160,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2018K1,44750,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2018K2,45620,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2018K3,44340,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2018K4,45140,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2019K1,45650,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2019K2,46200,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2019K3,46030,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2019K4,46670,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2020K1,47350,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2020K2,49060,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2020K3,48170,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2020K4,49160,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2021K1,50450,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2021K2,50910,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2021K3,49580,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2021K4,50280,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2022K1,50170,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2022K2,50390,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2022K3,51300,"Motion picture, TV, music prod."
Average monthly earnings (NOK),2022K4,52030,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2016K1,100,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2016K2,99.8,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2016K3,99.3,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2016K4,102.2,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2017K1,102.8,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2017K2,102.3,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2017K3,102.6,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2017K4,104.8,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2018K1,104.4,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2018K2,106,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2018K3,105,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2018K4,106.7,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2019K1,107.7,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2019K2,108.5,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2019K3,109,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2019K4,110.1,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2020K1,110.4,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2020K2,115.5,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2020K3,114.7,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2020K4,116.6,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2021K1,118.3,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2021K2,118.6,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2021K3,118.4,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2021K4,118.6,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2022K1,118.6,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2022K2,119.3,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2022K3,121.9,"Motion picture, TV, music prod."
Index of average monthly basic earnings,2022K4,123.2,"Motion picture, TV, music prod."
Index of average monthly earnings,2016K1,100,"Motion picture, TV, music prod."
Index of average monthly earnings,2016K2,99.6,"Motion picture, TV, music prod."
Index of average monthly earnings,2016K3,98.8,"Motion picture, TV, music prod."
Index of average monthly earnings,2016K4,100.5,"Motion picture, TV, music prod."
Index of average monthly earnings,2017K1,101.2,"Motion picture, TV, music prod."
Index of average monthly earnings,2017K2,101.8,"Motion picture, TV, music prod."
Index of average monthly earnings,2017K3,100.7,"Motion picture, TV, music prod."
Index of average monthly earnings,2017K4,102.1,"Motion picture, TV, music prod."
Index of average monthly earnings,2018K1,103.5,"Motion picture, TV, music prod."
Index of average monthly earnings,2018K2,105.5,"Motion picture, TV, music prod."
Index of average monthly earnings,2018K3,102.5,"Motion picture, TV, music prod."
Index of average monthly earnings,2018K4,104.4,"Motion picture, TV, music prod."
Index of average monthly earnings,2019K1,105.6,"Motion picture, TV, music prod."
Index of average monthly earnings,2019K2,106.8,"Motion picture, TV, music prod."
Index of average monthly earnings,2019K3,106.5,"Motion picture, TV, music prod."
Index of average monthly earnings,2019K4,107.9,"Motion picture, TV, music prod."
Index of average monthly earnings,2020K1,109.5,"Motion picture, TV, music prod."
Index of average monthly earnings,2020K2,113.5,"Motion picture, TV, music prod."
Index of average monthly earnings,2020K3,111.4,"Motion picture, TV, music prod."
Index of average monthly earnings,2020K4,113.7,"Motion picture, TV, music prod."
Index of average monthly earnings,2021K1,116.7,"Motion picture, TV, music prod."
Index of average monthly earnings,2021K2,117.7,"Motion picture, TV, music prod."
Index of average monthly earnings,2021K3,114.7,"Motion picture, TV, music prod."
Index of average monthly earnings,2021K4,116.3,"Motion picture, TV, music prod."
Index of average monthly earnings,2022K1,116,"Motion picture, TV, music prod."
Index of average monthly earnings,2022K2,116.5,"Motion picture, TV, music prod."
Index of average monthly earnings,2022K3,118.6,"Motion picture, TV, music prod."
Index of average monthly earnings,2022K4,120.3,"Motion picture, TV, music prod."
Number of employees,2016K1,5471,"Programming, broadcasting activities"
Number of employees,2016K2,5593,"Programming, broadcasting activities"
Number of employees,2016K3,5597,"Programming, broadcasting activities"
Number of employees,2016K4,5591,"Programming, broadcasting activities"
Number of employees,2017K1,5555,"Programming, broadcasting activities"
Number of employees,2017K2,5418,"Programming, broadcasting activities"
Number of employees,2017K3,5424,"Programming, broadcasting activities"
Number of employees,2017K4,5451,"Programming, broadcasting activities"
Number of employees,2018K1,5624,"Programming, broadcasting activities"
Number of employees,2018K2,5750,"Programming, broadcasting activities"
Number of employees,2018K3,5567,"Programming, broadcasting activities"
Number of employees,2018K4,5952,"Programming, broadcasting activities"
Number of employees,2019K1,5713,"Programming, broadcasting activities"
Number of employees,2019K2,5785,"Programming, broadcasting activities"
Number of employees,2019K3,5547,"Programming, broadcasting activities"
Number of employees,2019K4,5865,"Programming, broadcasting activities"
Number of employees,2020K1,5702,"Programming, broadcasting activities"
Number of employees,2020K2,5464,"Programming, broadcasting activities"
Number of employees,2020K3,5356,"Programming, broadcasting activities"
Number of employees,2020K4,5706,"Programming, broadcasting activities"
Number of employees,2021K1,5567,"Programming, broadcasting activities"
