contents,quarter,value,shortname
Index of average monthly basic earnings,2016K2,98.1,"Crop and animal production, hunting"
Index of average monthly basic earnings,2016K3,93.5,"Crop and animal production, hunting"
Index of average monthly basic earnings,2016K4,99.2,"Crop and animal production, hunting"
Index of average monthly basic earnings,2017K1,100.8,"Crop and animal production, hunting"
Index of average monthly basic earnings,2017K2,98,"Crop and animal production, hunting"
Index of average monthly basic earnings,2017K3,95.2,"Crop and animal production, hunting"
Index of average monthly basic earnings,2017K4,100.9,"Crop and animal production, hunting"
Index of average monthly basic earnings,2018K1,103.2,"Crop and animal production, hunting"
Index of average monthly basic earnings,2018K2,101.4,"Crop and animal production, hunting"
Index of average monthly basic earnings,2018K3,97.4,"Crop and animal production, hunting"
Index of average monthly basic earnings,2018K4,104,"Crop and animal production, hunting"
Index of average monthly basic earnings,2019K1,106.7,"Crop and animal production, hunting"
Index of average monthly basic earnings,2019K2,104.7,"Crop and animal production, hunting"
Index of average monthly basic earnings,2019K3,101.3,"Crop and animal production, hunting"
Index of average monthly basic earnings,2019K4,107.9,"Crop and animal production, hunting"
Index of average monthly basic earnings,2020K1,110.5,"Crop and animal production, hunting"
Index of average monthly basic earnings,2020K2,108.9,"Crop and animal production, hunting"
Index of average monthly basic earnings,2020K3,104,"Crop and animal production, hunting"
Index of average monthly basic earnings,2020K4,112.3,"Crop and animal production, hunting"
Index of average monthly basic earnings,2021K1,115.9,"Crop and animal production, hunting"
Index of average monthly basic earnings,2021K2,113.2,"Crop and animal production, hunting"
Index of average monthly basic earnings,2021K3,109,"Crop and animal production, hunting"
Index of average monthly basic earnings,2021K4,116.7,"Crop and animal production, hunting"
Index of average monthly basic earnings,2022K1,120.5,"Crop and animal production, hunting"
Index of average monthly basic earnings,2022K2,117.7,"Crop and animal production, hunting"
Index of average monthly basic earnings,2022K3,114.2,"Crop and animal production, hunting"
Index of average monthly basic earnings,2022K4,121.7,"Crop and animal production, hunting"
Index of average monthly earnings,2016K1,100,"Crop and animal production, hunting"
Index of average monthly earnings,2016K2,98.2,"Crop and animal production, hunting"
Index of average monthly earnings,2016K3,93.3,"Crop and animal production, hunting"
Index of average monthly earnings,2016K4,99.9,"Crop and animal production, hunting"
Index of average monthly earnings,2017K1,100.6,"Crop and animal production, hunting"
Index of average monthly earnings,2017K2,97.8,"Crop and animal production, hunting"
Index of average monthly earnings,2017K3,94.9,"Crop and animal production, hunting"
Index of average monthly earnings,2017K4,100.7,"Crop and animal production, hunting"
Index of average monthly earnings,2018K1,103.3,"Crop and animal production, hunting"
Index of average monthly earnings,2018K2,101.2,"Crop and animal production, hunting"
Index of average monthly earnings,2018K3,97.2,"Crop and animal production, hunting"
Index of average monthly earnings,2018K4,104.3,"Crop and animal production, hunting"
Index of average monthly earnings,2019K1,107.9,"Crop and animal production, hunting"
Index of average monthly earnings,2019K2,104.8,"Crop and animal production, hunting"
Index of average monthly earnings,2019K3,101.1,"Crop and animal production, hunting"
Index of average monthly earnings,2019K4,108.1,"Crop and animal production, hunting"
Index of average monthly earnings,2020K1,110.8,"Crop and animal production, hunting"
Index of average monthly earnings,2020K2,109.8,"Crop and animal production, hunting"
Index of average monthly earnings,2020K3,103.8,"Crop and animal production, hunting"
Index of average monthly earnings,2020K4,113.1,"Crop and animal production, hunting"
Index of average monthly earnings,2021K1,116.5,"Crop and animal production, hunting"
Index of average monthly earnings,2021K2,113.5,"Crop and animal production, hunting"
Index of average monthly earnings,2021K3,108.6,"Crop and animal production, hunting"
Index of average monthly earnings,2021K4,116.9,"Crop and animal production, hunting"
Index of average monthly earnings,2022K1,120.6,"Crop and animal production, hunting"
Index of average monthly earnings,2022K2,118.1,"Crop and animal production, hunting"
Index of average monthly earnings,2022K3,114.2,"Crop and animal production, hunting"
Index of average monthly earnings,2022K4,122.4,"Crop and animal production, hunting"
Number of employees,2016K1,2141,Forestry and logging
Number of employees,2016K2,2495,Forestry and logging
Number of employees,2016K3,2903,Forestry and logging
Number of employees,2016K4,2755,Forestry and logging
Number of employees,2017K1,2330,Forestry and logging
Number of employees,2017K2,2694,Forestry and logging
Number of employees,2017K3,3038,Forestry and logging
Number of employees,2017K4,2895,Forestry and logging
Number of employees,2018K1,2447,Forestry and logging
Number of employees,2018K2,2646,Forestry and logging
Number of employees,2018K3,3060,Forestry and logging
Number of employees,2018K4,3116,Forestry and logging
Number of employees,2019K1,2494,Forestry and logging
Number of employees,2019K2,2812,Forestry and logging
Number of employees,2019K3,3280,Forestry and logging
Number of employees,2019K4,3275,Forestry and logging
Number of employees,2020K1,2596,Forestry and logging
Number of employees,2020K2,2792,Forestry and logging
Number of employees,2020K3,3178,Forestry and logging
Number of employees,2020K4,3003,Forestry and logging
Number of employees,2021K1,2509,Forestry and logging
Number of employees,2021K2,2690,Forestry and logging
Number of employees,2021K3,3048,Forestry and logging
Number of employees,2021K4,3015,Forestry and logging
Number of employees,2022K1,2612,Forestry and logging
Number of employees,2022K2,2936,Forestry and logging
Number of employees,2022K3,3320,Forestry and logging
Number of employees,2022K4,3215,Forestry and logging
Number of jobs (employments),2016K1,2320,Forestry and logging
Number of jobs (employments),2016K2,2692,Forestry and logging
Number of jobs (employments),2016K3,3145,Forestry and logging
Number of jobs (employments),2016K4,2985,Forestry and logging
Number of jobs (employments),2017K1,2516,Forestry and logging
Number of jobs (employments),2017K2,2916,Forestry and logging
Number of jobs (employments),2017K3,3262,Forestry and logging
Number of jobs (employments),2017K4,3174,Forestry and logging
Number of jobs (employments),2018K1,2626,Forestry and logging
Number of jobs (employments),2018K2,2879,Forestry and logging
Number of jobs (employments),2018K3,3307,Forestry and logging
Number of jobs (employments),2018K4,3396,Forestry and logging
Number of jobs (employments),2019K1,2690,Forestry and logging
