code,parentCode,level,nb_name,name
3139,313,4,Andre prosesskontrolloperatører,Process control technicians not elsewhere classified
3141,314,4,Bioteknikere (ikke-medisinske laboratorier),Life science technicians (excluding medical)
3142,314,4,Agroteknikere,Agricultural technicians
3143,314,4,Skogteknikere,Forestry technicians
3151,315,4,Skipsmaskinister,Ships¿ engineers
3152,315,4,Dekksoffiserer og loser,Ships¿ deck officers and pilots
3153,315,4,Flygere,Aircraft pilots and related associate professionals
3154,315,4,Flygeledere,Air traffic controllers
3155,315,4,Teknikere innen luftfartssikkerhet,Air traffic safety electronics technicians
32,3,2,Helserelaterte yrker,Health associate professionals
3211,321,4,Radiografer mv.,Medical imaging and therapeutic equipment technicians
3212,321,4,Bioingeniører,Medical and pathology laboratory technicians
3213,321,4,Reseptarer,Pharmaceutical technicians and assistants
3214,321,4,Protese- og tannteknikere,Medical and dental prosthesis technicians
3230,323,4,Yrker innen alternativ medisin,Traditional and complementary medicine associate professionals
3240,324,4,Dyrepleiere,Veterinary technicians and assistants
3251,325,4,Tannpleiere,Dental assistants and therapists
3254,325,4,Optikere,Dispensing opticians
3256,325,4,Helsesekretærer,Medical assistants
3257,325,4,Helse- og miljøkontrollører,Environmental and occupational health inspectors and associates
3258,325,4,Ambulansepersonell,Ambulance workers
3259,325,4,Andre helseyrker,Health associate professionals not elsewhere classified
33,3,2,"Medarbeidere innen økonomi, administrasjon og salg",Business and administration associate professionals
3311,331,4,Finansmeglere,Securities and finance dealers and brokers
3312,331,4,Kundebehandlere lån og kreditt,Credit and loans officers
3313,331,4,Regnskapsførere,Accounting associate professionals
3315,331,4,Takstmenn,Valuers and loss assessors
3321,332,4,Forsikringsagenter,Insurance representatives
3322,332,4,Selgere (engros),Commercial sales representatives
3323,332,4,Innkjøpere,Buyers
3324,332,4,Handels- og skipsmeglere,Trade brokers
3331,333,4,Speditører og befraktere,Clearing and forwarding agents
3332,333,4,Konferanse- og arrangementsplanleggere mv.,Conference and event planners
3333,333,4,Arbeidsformidlere,Employment agents and contractors
3334,333,4,Eiendomsmeglere og - forvaltere,Real estate agents and property mangers
3339,333,4,Andre yrker innen forretningstjenester,Business services agents not elsewhere classified
3341,334,4,Arbeidsledere for kontorpersonell,Office supervisors
3342,334,4,Advokatsekretær,Legal secretaries
3343,334,4,Sjefssekretærer,Administrative and executive secretaries
3351,335,4,Tollere,Customs and border inspectors
3352,335,4,Skattefunksjonærer,Government tax and excise officials
3353,335,4,Saksbehandlere innen sosiale ytelser,Government social benefits officials
3354,335,4,"Saksbehandlere for førerkort, importlisenser mv.",Government licensing officials
3355,335,4,Politibetjenter mv.,Police inspectors and detectives
3359,335,4,Andre yrker innen offentlig forvaltning,Regulatory government associate professionals not elsewhere classified
34,3,2,"Yrker innen kultur, idrett mv.","Legal, social, cultural and related associate professionals"
3411,341,4,Privatetterforskere mv.,Legal and related associate professionals
3412,341,4,Miljøarbeidere innen sosiale fagfelt,Social work associate professionals
3413,341,4,Religiøse yrker,Religious associate professionals
3421,342,4,Idrettsutøvere,Athletes and sports players
3422,342,4,Trenere og idrettsdommere,"Sport coaches, instructors and officials"
3423,342,4,Sports- og aktivitetsinstruktører,Fitness and recreation instructors and program leaders
3431,343,4,Fotografer og filmfotografer,Photographers
3432,343,4,Interiørdesignere og dekoratører,Interior designers and decorators
3433,343,4,Tekniske konservatorer,"Gallery, museum and library technicians"
3434,343,4,Sjefskokker,Chefs
3439,343,4,Andre yrker innen estetiske fag,Other artistic and cultural associate professionals
35,3,2,IKT-teknikere,Information and communications technicians
3511,351,4,"Driftsteknikere, IKT",Information and communication technology operations technicians
3512,351,4,"Brukerstøtte, IKT",Information and communication technology user support technicians
3513,351,4,"Nettverks- og systemteknikere, IKT",Computer network and systems technicians
3514,351,4,Internett-teknikere,Web technicians
