date,year,quarter,average_monthly_basic_earnings_nok,average_monthly_earnings_nok,number_of_employees,number_of_jobs_employments,consumer_price_index_2015_100
2016-03-31,2016,1,49180,49600,1224,1562,102.5
2016-06-30,2016,2,46320,50690,1215,1653,103.8
2016-09-30,2016,3,52420,52530,1236,1630,104.2
2016-12-31,2016,4,48050,49190,1186,1586,104.4
2017-03-31,2017,1,46430,51890,890,1186,105
2017-06-30,2017,2,47400,47920,858,1124,105.8
2017-09-30,2017,3,46890,50480,649,860,105.9
2017-12-31,2017,4,49230,49700,745,1000,106.1
2018-03-31,2018,1,51260,54010,713,896,107.3
2018-06-30,2018,2,49630,54180,809,1055,108.5
2018-09-30,2018,3,51380,51490,747,956,109.5
2018-12-31,2018,4,53350,54610,730,988,109.8
2019-03-31,2019,1,60260,66620,871,1078,110.4
2019-06-30,2019,2,57820,58100,921,1209,110.6
2019-09-30,2019,3,59000,59640,938,1167,111.1
2019-12-31,2019,4,59500,60130,1004,1351,111.3
2020-03-31,2020,1,58650,61620,1079,1485,111.2
2020-06-30,2020,2,56770,56990,1296,1735,112.1
2020-09-30,2020,3,59730,60310,1261,1722,112.9
2020-12-31,2020,4,61970,62810,1380,1892,112.9
2021-03-31,2021,1,64180,72920,1490,2003,114.6
2021-06-30,2021,2,66520,68010,1607,2092,115.3
2021-09-30,2021,3,65950,67500,1590,2106,117.5
2021-12-31,2021,4,66370,67130,1841,2389,118.9
2022-03-31,2022,1,69440,75900,1699,2199,119.8
2022-06-30,2022,2,70680,71850,1731,2252,122.6
2022-09-30,2022,3,67050,68980,1640,2145,125.6
2022-12-31,2022,4,64750,66470,1881,2473,125.9
2016-03-31,2016,1,28810,29270,12873,15955,102.5
2016-06-30,2016,2,28250,28750,16203,19916,103.8
2016-09-30,2016,3,26940,27320,21341,26133,104.2
2016-12-31,2016,4,28580,29230,17577,22489,104.4
2017-03-31,2017,1,29050,29440,13352,16419,105
2017-06-30,2017,2,28230,28640,16655,20475,105.8
2017-09-30,2017,3,27440,27790,21947,26839,105.9
2017-12-31,2017,4,29080,29470,17599,22650,106.1
2018-03-31,2018,1,29740,30250,13636,16871,107.3
2018-06-30,2018,2,29220,29620,17040,20973,108.5
2018-09-30,2018,3,28070,28460,21139,26123,109.5
2018-12-31,2018,4,29950,30520,17338,22223,109.8
2019-03-31,2019,1,30740,31570,13648,16849,110.4
2019-06-30,2019,2,30170,30670,16997,21064,110.6
2019-09-30,2019,3,29190,29590,21624,26662,111.1
2019-12-31,2019,4,31100,31640,17270,22298,111.3
2020-03-31,2020,1,31840,32430,13577,16870,111.2
2020-06-30,2020,2,31370,32150,16219,19910,112.1
2020-09-30,2020,3,29950,30370,21033,25970,112.9
2020-12-31,2020,4,32360,33110,16883,21864,112.9
2021-03-31,2021,1,33390,34100,13413,16565,114.6
2021-06-30,2021,2,32620,33210,16541,20758,115.3
2021-09-30,2021,3,31390,31800,20775,26390,117.5
2021-12-31,2021,4,33620,34220,17289,22755,118.9
2022-03-31,2022,1,34720,35300,13695,17082,119.8
2022-06-30,2022,2,33900,34560,16953,21443,122.6
2022-09-30,2022,3,32910,33440,20478,26229,125.6
2022-12-31,2022,4,35060,35840,17500,23170,125.9
2016-03-31,2016,1,36460,37050,2141,2320,102.5
2016-06-30,2016,2,35670,36230,2495,2692,103.8
2016-09-30,2016,3,34810,35100,2903,3145,104.2
2016-12-31,2016,4,35710,36250,2755,2985,104.4
2017-03-31,2017,1,36900,37380,2330,2516,105
2017-06-30,2017,2,35880,36480,2694,2916,105.8
2017-09-30,2017,3,35390,35630,3038,3262,105.9
2017-12-31,2017,4,36330,36660,2895,3174,106.1
2018-03-31,2018,1,37460,38170,2447,2626,107.3
2018-06-30,2018,2,36830,37500,2646,2879,108.5
2018-09-30,2018,3,36330,36820,3060,3307,109.5
2018-12-31,2018,4,37250,38020,3116,3396,109.8
2019-03-31,2019,1,38830,39500,2494,2690,110.4
2019-06-30,2019,2,37890,38870,2812,3039,110.6
2019-09-30,2019,3,37110,37560,3280,3548,111.1
2019-12-31,2019,4,38410,39330,3275,3539,111.3
2020-03-31,2020,1,39840,40840,2596,2803,111.2
2020-06-30,2020,2,39940,40860,2792,3019,112.1
2020-09-30,2020,3,38670,39070,3178,3453,112.9
2020-12-31,2020,4,39550,40320,3003,3261,112.9
2021-03-31,2021,1,41270,42100,2509,2707,114.6
2021-06-30,2021,2,41070,42360,2690,2900,115.3
2021-09-30,2021,3,40300,40810,3048,3329,117.5
2021-12-31,2021,4,41030,42040,3015,3313,118.9
2022-03-31,2022,1,43140,44890,2612,2840,119.8
2022-06-30,2022,2,42700,43790,2936,3166,122.6
2022-09-30,2022,3,42130,42390,3320,3586,125.6
2022-12-31,2022,4,43200,44420,3215,3493,125.9
2016-03-31,2016,1,41110,44180,7918,8349,102.5
2016-06-30,2016,2,41380,45840,8173,8642,103.8
2016-09-30,2016,3,39940,41930,9304,9871,104.2
2016-12-31,2016,4,41670,44270,9047,9660,104.4
2017-03-31,2017,1,42470,47500,8753,9223,105
2017-06-30,2017,2,42600,50600,8999,9522,105.8
2017-09-30,2017,3,41220,42810,10367,11069,105.9
2017-12-31,2017,4,43010,45150,10020,10637,106.1
2018-03-31,2018,1,43690,47090,9444,9950,107.3
2018-06-30,2018,2,43900,51850,9512,10051,108.5
2018-09-30,2018,3,42490,44260,10970,11648,109.5
2018-12-31,2018,4,44350,47200,10600,11245,109.8
2019-03-31,2019,1,44900,48210,10317,10848,110.4
2019-06-30,2019,2,45380,49320,10437,11079,110.6
2019-09-30,2019,3,43920,45420,11790,12539,111.1
2019-12-31,2019,4,45790,48150,11442,12153,111.3
2020-03-31,2020,1,46660,50110,11111,11701,111.2
2020-06-30,2020,2,46890,54600,11292,11862,112.1
2020-09-30,2020,3,45440,47850,12443,13179,112.9
2020-12-31,2020,4,47270,50840,11958,12690,112.9
2021-03-31,2021,1,48700,51600,11864,12461,114.6
2021-06-30,2021,2,49080,52850,11985,12705,115.3
2021-09-30,2021,3,47610,49640,13201,13985,117.5
2021-12-31,2021,4,49790,52310,12947,13738,118.9
2022-03-31,2022,1,50620,55120,12723,13365,119.8
2022-06-30,2022,2,51150,55780,13002,13756,122.6
2022-09-30,2022,3,50140,53990,14088,14958,125.6
2022-12-31,2022,4,52520,55010,13770,14652,125.9
2016-03-31,2016,1,NA,NA,204,207,102.5
2016-06-30,2016,2,NA,NA,151,154,103.8
2016-09-30,2016,3,NA,NA,124,127,104.2
2016-12-31,2016,4,NA,NA,108,108,104.4
2017-03-31,2017,1,NA,NA,109,115,105
2017-06-30,2017,2,NA,NA,106,109,105.8
2017-09-30,2017,3,NA,NA,110,113,105.9
2017-12-31,2017,4,NA,NA,101,104,106.1
2018-03-31,2018,1,NA,NA,101,104,107.3
2018-06-30,2018,2,NA,NA,106,109,108.5
2018-09-30,2018,3,NA,NA,21,21,109.5
2018-12-31,2018,4,NA,NA,104,107,109.8
2019-03-31,2019,1,NA,NA,104,107,110.4
2019-06-30,2019,2,NA,NA,106,109,110.6
2019-09-30,2019,3,NA,NA,125,131,111.1
2019-12-31,2019,4,NA,NA,107,110,111.3
2020-03-31,2020,1,NA,NA,107,107,111.2
2020-06-30,2020,2,NA,NA,104,104,112.1
2020-09-30,2020,3,NA,NA,124,124,112.9
2020-12-31,2020,4,NA,NA,104,107,112.9
2021-03-31,2021,1,NA,NA,102,105,114.6
2021-06-30,2021,2,NA,NA,101,101,115.3
2021-09-30,2021,3,NA,NA,104,104,117.5
2021-12-31,2021,4,NA,NA,100,100,118.9
2022-03-31,2022,1,NA,NA,97,97,119.8
2022-06-30,2022,2,NA,NA,93,93,122.6
2022-09-30,2022,3,NA,NA,89,89,125.6
2022-12-31,2022,4,NA,NA,79,79,125.9
2016-03-31,2016,1,68260,90720,25592,25630,102.5
2016-06-30,2016,2,67650,78180,25155,25189,103.8
2016-09-30,2016,3,67760,75030,24820,24873,104.2
2016-12-31,2016,4,68340,77130,24444,24481,104.4
2017-03-31,2017,1,68460,89150,23847,23889,105
2017-06-30,2017,2,68820,79150,23725,23781,105.8
2017-09-30,2017,3,68890,76100,23851,23918,105.9
2017-12-31,2017,4,70270,79350,23649,23676,106.1
2018-03-31,2018,1,70340,102600,23427,23483,107.3
2018-06-30,2018,2,70350,82560,23442,23547,108.5
2018-09-30,2018,3,70370,78330,23757,23818,109.5
2018-12-31,2018,4,72180,81870,23694,23742,109.8
2019-03-31,2019,1,72380,105550,23703,23771,110.4
2019-06-30,2019,2,72630,85450,23709,23751,110.6
2019-09-30,2019,3,72220,83740,24163,24229,111.1
2019-12-31,2019,4,74570,84120,24105,24159,111.3
2020-03-31,2020,1,75940,100600,24203,24261,111.2
2020-06-30,2020,2,75900,85650,24214,24268,112.1
2020-09-30,2020,3,75350,83020,24262,24331,112.9
2020-12-31,2020,4,75740,85360,24197,24252,112.9
2021-03-31,2021,1,76700,104870,24149,24208,114.6
2021-06-30,2021,2,76460,90560,24037,24074,115.3
2021-09-30,2021,3,77370,86220,23883,23937,117.5
2021-12-31,2021,4,78800,88980,24090,24138,118.9
2022-03-31,2022,1,78680,112260,24069,24140,119.8
2022-06-30,2022,2,78810,94090,24289,24331,122.6
2022-09-30,2022,3,78230,88460,24598,24681,125.6
2022-12-31,2022,4,82160,93040,24824,24933,125.9
2016-03-31,2016,1,43020,45120,618,624,102.5
2016-06-30,2016,2,42350,44310,566,572,103.8
2016-09-30,2016,3,41570,42870,571,577,104.2
2016-12-31,2016,4,42640,44490,609,615,104.4
2017-03-31,2017,1,43620,45830,606,606,105
2017-06-30,2017,2,45070,47510,601,607,105.8
2017-09-30,2017,3,44030,45110,612,615,105.9
2017-12-31,2017,4,45010,46840,605,608,106.1
2018-03-31,2018,1,44770,47210,623,629,107.3
2018-06-30,2018,2,46590,49180,622,625,108.5
2018-09-30,2018,3,43910,47160,631,634,109.5
2018-12-31,2018,4,44920,48700,627,633,109.8
2019-03-31,2019,1,45140,49530,612,618,110.4
2019-06-30,2019,2,48570,51290,496,506,110.6
2019-09-30,2019,3,43620,45890,640,646,111.1
2019-12-31,2019,4,48080,50830,693,699,111.3
2020-03-31,2020,1,48580,52130,700,706,111.2
2020-06-30,2020,2,49090,54220,699,702,112.1
2020-09-30,2020,3,48470,50960,696,699,112.9
2020-12-31,2020,4,50790,54550,673,676,112.9
2021-03-31,2021,1,50700,56650,682,682,114.6
2021-06-30,2021,2,50740,54710,675,678,115.3
2021-09-30,2021,3,50240,53880,682,682,117.5
2021-12-31,2021,4,51710,54590,672,678,118.9
2022-03-31,2022,1,52400,68440,687,687,119.8
2022-06-30,2022,2,53240,56700,690,693,122.6
2022-09-30,2022,3,52860,55270,725,728,125.6
2022-12-31,2022,4,56520,59430,775,778,125.9
2016-03-31,2016,1,39570,41160,3427,3547,102.5
2016-06-30,2016,2,39120,42040,3571,3707,103.8
2016-09-30,2016,3,39680,41260,3698,3834,104.2
2016-12-31,2016,4,40190,41860,3598,3752,104.4
2017-03-31,2017,1,40640,42260,3441,3570,105
2017-06-30,2017,2,40600,43050,3510,3662,105.8
2017-09-30,2017,3,40580,42360,3742,3875,105.9
2017-12-31,2017,4,41060,42850,3676,3832,106.1
2018-03-31,2018,1,41480,43330,3578,3730,107.3
2018-06-30,2018,2,41280,44030,3660,3827,108.5
2018-09-30,2018,3,41720,43210,3881,4060,109.5
2018-12-31,2018,4,42680,44500,3727,3913,109.8
2019-03-31,2019,1,42810,44750,3591,3723,110.4
2019-06-30,2019,2,42210,45650,3764,3933,110.6
2019-09-30,2019,3,42310,44430,3968,4115,111.1
2019-12-31,2019,4,43310,45330,3761,3922,111.3
2020-03-31,2020,1,43470,46100,3660,3806,111.2
2020-06-30,2020,2,43220,46520,3676,3812,112.1
2020-09-30,2020,3,42960,45160,3821,3987,112.9
2020-12-31,2020,4,44020,46510,3737,3902,112.9
2021-03-31,2021,1,44770,47520,3586,3707,114.6
2021-06-30,2021,2,44650,48270,3648,3791,115.3
2021-09-30,2021,3,44620,46790,3867,4020,117.5
2021-12-31,2021,4,45620,48220,3776,3948,118.9
2022-03-31,2022,1,46190,49380,3652,3782,119.8
2022-06-30,2022,2,46070,49520,3717,3867,122.6
2022-09-30,2022,3,46590,48720,3853,4016,125.6
2022-12-31,2022,4,48040,50650,3707,3880,125.9
2016-03-31,2016,1,54400,63070,31019,31153,102.5
2016-06-30,2016,2,54660,60240,30032,30197,103.8
2016-09-30,2016,3,54000,59340,28663,28809,104.2
2016-12-31,2016,4,54250,59260,26777,26921,104.4
2017-03-31,2017,1,54410,61990,25935,26096,105
2017-06-30,2017,2,55230,64470,27160,27313,105.8
2017-09-30,2017,3,55300,61180,28085,28253,105.9
2017-12-31,2017,4,55750,60570,27674,27833,106.1
2018-03-31,2018,1,55780,64200,26629,26794,107.3
2018-06-30,2018,2,55970,66770,27171,27325,108.5
2018-09-30,2018,3,56170,60990,27806,27996,109.5
2018-12-31,2018,4,56490,61950,28242,28442,109.8
2019-03-31,2019,1,56720,63660,28896,29123,110.4
2019-06-30,2019,2,56640,68700,29919,30095,110.6
2019-09-30,2019,3,57150,63160,31312,31478,111.1
2019-12-31,2019,4,57780,63380,32917,33127,111.3
2020-03-31,2020,1,57850,67350,33294,33451,111.2
2020-06-30,2020,2,58840,67730,32279,32457,112.1
2020-09-30,2020,3,57800,62770,32176,32387,112.9
2020-12-31,2020,4,58630,64480,32609,32797,112.9
2021-03-31,2021,1,58730,67710,32340,32511,114.6
2021-06-30,2021,2,59000,69190,32578,32777,115.3
2021-09-30,2021,3,59380,64870,32985,33202,117.5
2021-12-31,2021,4,59850,65870,33740,33955,118.9
2022-03-31,2022,1,59880,69780,32871,33105,119.8
2022-06-30,2022,2,60350,70900,34477,34739,122.6
2022-09-30,2022,3,61250,67720,35019,35254,125.6
2022-12-31,2022,4,62200,68930,34966,35150,125.9
2016-03-31,2016,1,36820,39360,44938,46224,102.5
2016-06-30,2016,2,36680,41830,44354,45819,103.8
2016-09-30,2016,3,36480,37870,46771,48333,104.2
2016-12-31,2016,4,37420,39210,46024,47646,104.4
2017-03-31,2017,1,37720,40430,44866,46275,105
2017-06-30,2017,2,37640,43130,44844,46270,105.8
2017-09-30,2017,3,37390,39030,47308,48965,105.9
2017-12-31,2017,4,38050,40230,46582,48237,106.1
2018-03-31,2018,1,38500,41440,45431,46836,107.3
2018-06-30,2018,2,38650,44480,45248,46851,108.5
2018-09-30,2018,3,38510,40190,47340,48957,109.5
2018-12-31,2018,4,39090,41410,46487,48100,109.8
2019-03-31,2019,1,40010,42920,45207,46699,110.4
2019-06-30,2019,2,40140,45240,45624,47196,110.6
2019-09-30,2019,3,40090,41900,47361,49009,111.1
2019-12-31,2019,4,40750,42810,46759,48458,111.3
2020-03-31,2020,1,41090,44060,45886,47511,111.2
2020-06-30,2020,2,41230,47490,44903,46192,112.1
2020-09-30,2020,3,40510,42530,47122,48625,112.9
2020-12-31,2020,4,41200,43360,46749,48470,112.9
2021-03-31,2021,1,42240,45450,46003,47465,114.6
2021-06-30,2021,2,42290,48250,46150,47800,115.3
2021-09-30,2021,3,41930,44010,48323,50332,117.5
2021-12-31,2021,4,42820,45070,48090,50020,118.9
2022-03-31,2022,1,43270,45890,47655,49417,119.8
2022-06-30,2022,2,43330,48780,47825,49844,122.6
2022-09-30,2022,3,43290,45040,49947,52067,125.6
2022-12-31,2022,4,44790,46990,48453,50527,125.9
2016-03-31,2016,1,40320,43400,3459,3556,102.5
2016-06-30,2016,2,40300,42040,3432,3539,103.8
2016-09-30,2016,3,40240,41470,3519,3610,104.2
2016-12-31,2016,4,41020,42730,3447,3541,104.4
2017-03-31,2017,1,41610,44100,3379,3461,105
2017-06-30,2017,2,41980,43550,3362,3471,105.8
2017-09-30,2017,3,41670,42800,3437,3549,105.9
2017-12-31,2017,4,42520,44570,3299,3416,106.1
2018-03-31,2018,1,42640,45140,3242,3355,107.3
2018-06-30,2018,2,42930,45090,3299,3411,108.5
2018-09-30,2018,3,42490,45100,3411,3526,109.5
2018-12-31,2018,4,43330,46030,3295,3426,109.8
2019-03-31,2019,1,44290,47430,3182,3298,110.4
2019-06-30,2019,2,44510,47850,3219,3345,110.6
2019-09-30,2019,3,44470,46560,3239,3368,111.1
2019-12-31,2019,4,45810,47840,3115,3266,111.3
2020-03-31,2020,1,46180,49180,3079,3192,111.2
2020-06-30,2020,2,46440,48630,3003,3093,112.1
2020-09-30,2020,3,46100,47640,3068,3191,112.9
2020-12-31,2020,4,46760,48890,3034,3181,112.9
2021-03-31,2021,1,47820,50350,2888,2986,114.6
2021-06-30,2021,2,48010,51160,2933,3022,115.3
2021-09-30,2021,3,47620,49270,3124,3278,117.5
2021-12-31,2021,4,48120,50090,3109,3289,118.9
2022-03-31,2022,1,48900,51620,3024,3144,119.8
2022-06-30,2022,2,49040,51460,3118,3306,122.6
2022-09-30,2022,3,48950,51140,3207,3380,125.6
2022-12-31,2022,4,50140,52600,3144,3315,125.9
2016-03-31,2016,1,NA,NA,0,0,102.5
2016-06-30,2016,2,NA,NA,0,0,103.8
2016-09-30,2016,3,NA,NA,0,0,104.2
2016-12-31,2016,4,NA,NA,0,0,104.4
2017-03-31,2017,1,NA,NA,0,0,105
2017-06-30,2017,2,NA,NA,0,0,105.8
2017-09-30,2017,3,NA,NA,0,0,105.9
2017-12-31,2017,4,NA,NA,0,0,106.1
2018-03-31,2018,1,NA,NA,0,0,107.3
2018-06-30,2018,2,NA,NA,0,0,108.5
2018-09-30,2018,3,NA,NA,0,0,109.5
2018-12-31,2018,4,NA,NA,0,0,109.8
2019-03-31,2019,1,NA,NA,0,0,110.4
2019-06-30,2019,2,NA,NA,0,0,110.6
2019-09-30,2019,3,NA,NA,0,0,111.1
2019-12-31,2019,4,NA,NA,0,0,111.3
2020-03-31,2020,1,NA,NA,0,0,111.2
2020-06-30,2020,2,NA,NA,0,0,112.1
2020-09-30,2020,3,NA,NA,0,0,112.9
2020-12-31,2020,4,NA,NA,0,0,112.9
2021-03-31,2021,1,NA,NA,0,0,114.6
2021-06-30,2021,2,NA,NA,0,0,115.3
2021-09-30,2021,3,NA,NA,0,0,117.5
2021-12-31,2021,4,NA,NA,0,0,118.9
2022-03-31,2022,1,NA,NA,0,0,119.8
2022-06-30,2022,2,NA,NA,0,0,122.6
2022-09-30,2022,3,NA,NA,0,0,125.6
2022-12-31,2022,4,NA,NA,3,3,125.9
2016-03-31,2016,1,35710,36420,2364,2438,102.5
2016-06-30,2016,2,35800,44360,2542,2614,103.8
2016-09-30,2016,3,35930,38600,2528,2600,104.2
2016-12-31,2016,4,36630,40550,2504,2590,104.4
2017-03-31,2017,1,36250,37570,2437,2515,105
2017-06-30,2017,2,38130,46470,2657,2731,105.8
2017-09-30,2017,3,36780,37340,2697,2779,105.9
2017-12-31,2017,4,37550,38500,2634,2720,106.1
2018-03-31,2018,1,37240,38360,2494,2568,107.3
2018-06-30,2018,2,38080,43620,2753,2831,108.5
2018-09-30,2018,3,38210,38490,2820,2898,109.5
2018-12-31,2018,4,39230,41330,2785,2852,109.8
2019-03-31,2019,1,38490,39280,2617,2697,110.4
2019-06-30,2019,2,39230,45870,2804,2881,110.6
2019-09-30,2019,3,39530,39940,2826,2916,111.1
2019-12-31,2019,4,40250,41370,2752,2832,111.3
2020-03-31,2020,1,39840,40450,2505,2572,111.2
2020-06-30,2020,2,39990,46700,2619,2686,112.1
2020-09-30,2020,3,40240,40610,2637,2719,112.9
2020-12-31,2020,4,41710,42730,2671,2765,112.9
2021-03-31,2021,1,41120,41860,2552,2653,114.6
2021-06-30,2021,2,43280,53820,2966,3056,115.3
2021-09-30,2021,3,42410,42700,3003,3122,117.5
2021-12-31,2021,4,43060,43920,2975,3071,118.9
2022-03-31,2022,1,42610,45080,2792,2881,119.8
2022-06-30,2022,2,42870,50270,2925,3027,122.6
2022-09-30,2022,3,44180,44460,2987,3100,125.6
2022-12-31,2022,4,45150,46140,2952,3074,125.9
2016-03-31,2016,1,35580,35710,1028,1101,102.5
2016-06-30,2016,2,36400,37250,1053,1130,103.8
2016-09-30,2016,3,36070,36320,1060,1134,104.2
2016-12-31,2016,4,36870,37280,1073,1161,104.4
2017-03-31,2017,1,36350,36680,1068,1146,105
2017-06-30,2017,2,36980,38860,1086,1177,105.8
2017-09-30,2017,3,37290,37510,1053,1140,105.9
2017-12-31,2017,4,37410,37860,1072,1162,106.1
2018-03-31,2018,1,38360,39700,1263,1364,107.3
2018-06-30,2018,2,38350,39200,1268,1374,108.5
2018-09-30,2018,3,38220,38460,1290,1388,109.5
2018-12-31,2018,4,38070,38330,1322,1435,109.8
2019-03-31,2019,1,38410,38830,1300,1428,110.4
2019-06-30,2019,2,38710,39350,1341,1448,110.6
2019-09-30,2019,3,39760,40020,1324,1402,111.1
2019-12-31,2019,4,40340,41970,1334,1456,111.3
2020-03-31,2020,1,40560,41770,1313,1430,111.2
2020-06-30,2020,2,40840,41440,1159,1242,112.1
2020-09-30,2020,3,41150,42010,1117,1203,112.9
2020-12-31,2020,4,42490,42920,1162,1265,112.9
2021-03-31,2021,1,42930,48750,1158,1257,114.6
2021-06-30,2021,2,43020,52500,1143,1247,115.3
2021-09-30,2021,3,42980,43640,1169,1272,117.5
2021-12-31,2021,4,43170,43670,1235,1372,118.9
2022-03-31,2022,1,44150,44620,1246,1375,119.8
2022-06-30,2022,2,44550,45410,1268,1406,122.6
2022-09-30,2022,3,45630,45840,1215,1336,125.6
2022-12-31,2022,4,45600,46010,1259,1380,125.9
2016-03-31,2016,1,30180,30180,110,122,102.5
2016-06-30,2016,2,NA,NA,97,103,103.8
2016-09-30,2016,3,NA,NA,99,102,104.2
2016-12-31,2016,4,29990,30570,126,133,104.4
2017-03-31,2017,1,30150,30630,120,120,105
2017-06-30,2017,2,31350,32360,111,114,105.8
2017-09-30,2017,3,32080,33850,105,108,105.9
2017-12-31,2017,4,31160,32050,131,134,106.1
2018-03-31,2018,1,33440,33530,113,116,107.3
2018-06-30,2018,2,34330,35410,121,127,108.5
2018-09-30,2018,3,34150,34650,135,141,109.5
2018-12-31,2018,4,34760,35940,134,140,109.8
2019-03-31,2019,1,35220,35420,135,141,110.4
2019-06-30,2019,2,36090,36540,142,151,110.6
2019-09-30,2019,3,35960,36070,117,123,111.1
2019-12-31,2019,4,36160,36320,125,128,111.3
2020-03-31,2020,1,36290,36410,126,132,111.2
2020-06-30,2020,2,NA,NA,99,102,112.1
2020-09-30,2020,3,NA,NA,93,96,112.9
2020-12-31,2020,4,37330,37470,111,117,112.9
2021-03-31,2021,1,36690,36820,113,116,114.6
2021-06-30,2021,2,37900,38000,109,112,115.3
2021-09-30,2021,3,NA,NA,105,108,117.5
2021-12-31,2021,4,36550,36650,111,111,118.9
2022-03-31,2022,1,37460,37580,107,107,119.8
2022-06-30,2022,2,36300,37270,120,123,122.6
2022-09-30,2022,3,36330,36470,113,116,125.6
2022-12-31,2022,4,37080,37290,119,125,125.9
2016-03-31,2016,1,35830,37310,11863,12140,102.5
2016-06-30,2016,2,35620,37350,12285,12606,103.8
2016-09-30,2016,3,35960,36650,12606,12939,104.2
2016-12-31,2016,4,36210,37100,12563,12881,104.4
2017-03-31,2017,1,36440,37600,12433,12735,105
2017-06-30,2017,2,36510,38400,12559,12886,105.8
2017-09-30,2017,3,36540,37170,13061,13403,105.9
2017-12-31,2017,4,37140,37910,13014,13377,106.1
2018-03-31,2018,1,37550,39080,12652,12974,107.3
2018-06-30,2018,2,37640,39550,12865,13201,108.5
2018-09-30,2018,3,37740,38810,13107,13516,109.5
2018-12-31,2018,4,38310,39080,12918,13252,109.8
2019-03-31,2019,1,38850,40410,12534,12813,110.4
2019-06-30,2019,2,38790,41090,12611,12955,110.6
2019-09-30,2019,3,39150,39770,13017,13357,111.1
2019-12-31,2019,4,39790,40650,12930,13243,111.3
2020-03-31,2020,1,39980,41250,12611,12888,111.2
2020-06-30,2020,2,40090,41930,12556,12816,112.1
2020-09-30,2020,3,39710,40350,12940,13236,112.9
2020-12-31,2020,4,40690,41700,12950,13273,112.9
2021-03-31,2021,1,41020,42410,12730,12990,114.6
2021-06-30,2021,2,41220,44950,13044,13345,115.3
2021-09-30,2021,3,41410,42240,13434,13781,117.5
2021-12-31,2021,4,42240,43640,13473,13836,118.9
2022-03-31,2022,1,42350,45630,13362,13624,119.8
2022-06-30,2022,2,42660,45750,13485,13821,122.6
2022-09-30,2022,3,43100,44420,13678,14019,125.6
2022-12-31,2022,4,44200,45120,13478,13823,125.9
2016-03-31,2016,1,37090,40640,2528,2537,102.5
2016-06-30,2016,2,35220,38680,2540,2552,103.8
2016-09-30,2016,3,36770,38150,2649,2670,104.2
2016-12-31,2016,4,37590,38760,2596,2611,104.4
2017-03-31,2017,1,37810,45590,2526,2542,105
2017-06-30,2017,2,39600,42790,2714,2730,105.8
2017-09-30,2017,3,39510,40830,2815,2829,105.9
2017-12-31,2017,4,40750,41970,2755,2769,106.1
2018-03-31,2018,1,40460,43400,2759,2771,107.3
2018-06-30,2018,2,40630,42490,2753,2772,108.5
2018-09-30,2018,3,40340,41700,2868,2882,109.5
2018-12-31,2018,4,41630,43070,2758,2773,109.8
2019-03-31,2019,1,41620,47150,2728,2746,110.4
2019-06-30,2019,2,41650,45230,2718,2738,110.6
2019-09-30,2019,3,41810,43230,2789,2811,111.1
2019-12-31,2019,4,42360,44460,2745,2764,111.3
2020-03-31,2020,1,42560,51140,2719,2735,111.2
2020-06-30,2020,2,42790,45980,2720,2729,112.1
2020-09-30,2020,3,42420,43610,2745,2757,112.9
2020-12-31,2020,4,43280,44570,2694,2711,112.9
2021-03-31,2021,1,43670,49650,2679,2692,114.6
2021-06-30,2021,2,44100,48150,2678,2698,115.3
2021-09-30,2021,3,44060,45760,2740,2758,117.5
2021-12-31,2021,4,45280,46710,2668,2688,118.9
2022-03-31,2022,1,45550,53270,2643,2665,119.8
2022-06-30,2022,2,45920,51040,2644,2675,122.6
2022-09-30,2022,3,46300,47890,2744,2776,125.6
2022-12-31,2022,4,48950,50820,2636,2660,125.9
2016-03-31,2016,1,38400,39590,4718,4902,102.5
2016-06-30,2016,2,37350,38650,4774,4953,103.8
2016-09-30,2016,3,38550,39250,4735,4925,104.2
2016-12-31,2016,4,39080,40970,4933,5124,104.4
2017-03-31,2017,1,39140,40170,4762,4936,105
2017-06-30,2017,2,39120,40530,4767,4961,105.8
2017-09-30,2017,3,39000,39720,4832,5038,105.9
2017-12-31,2017,4,39780,41290,4683,4911,106.1
2018-03-31,2018,1,39950,41290,4597,4781,107.3
2018-06-30,2018,2,39820,41290,4606,4795,108.5
2018-09-30,2018,3,39940,40730,4636,4840,109.5
2018-12-31,2018,4,40680,42120,4613,4819,109.8
2019-03-31,2019,1,40880,42390,4550,4726,110.4
2019-06-30,2019,2,41060,42460,4612,4818,110.6
2019-09-30,2019,3,41040,41850,4629,4820,111.1
2019-12-31,2019,4,41700,43670,4595,4825,111.3
2020-03-31,2020,1,41950,43540,4500,4710,111.2
2020-06-30,2020,2,40380,41800,4238,4409,112.1
2020-09-30,2020,3,40920,41860,3800,3971,112.9
2020-12-31,2020,4,42010,43700,3837,4031,112.9
2021-03-31,2021,1,42580,44600,3676,3843,114.6
2021-06-30,2021,2,42630,44010,3696,3876,115.3
2021-09-30,2021,3,42690,43580,3776,3955,117.5
2021-12-31,2021,4,43700,45530,3790,3995,118.9
2022-03-31,2022,1,44020,45420,3690,3844,119.8
2022-06-30,2022,2,44320,45920,3709,3882,122.6
2022-09-30,2022,3,44560,45610,3815,4006,125.6
2022-12-31,2022,4,45700,47830,3839,4050,125.9
2016-03-31,2016,1,NA,NA,1148,1151,102.5
2016-06-30,2016,2,NA,NA,1143,1146,103.8
2016-09-30,2016,3,NA,NA,1149,1152,104.2
